# https://www.un.org/dgacm/en/content/regional-groups
# Turkey assigned to Group of Western European and other States based on electoral assignment

country                                               ,regional_group
Kuwait                                                ,Asia-Pacific States

Albania                                               ,Eastern European States
Estonia                                               ,Eastern European States
Republic of Moldova                                   ,Eastern European States
Armenia                                               ,Eastern European States
Georgia                                               ,Eastern European States
Romania                                               ,Eastern European States
Azerbaijan                                            ,Eastern European States
Hungary                                               ,Eastern European States
Russian Federation                                    ,Eastern European States
Belarus                                               ,Eastern European States
Latvia                                                ,Eastern European States
Serbia                                                ,Eastern European States
Bosnia and Herzegovina                                ,Eastern European States
Lithuania                                             ,Eastern European States
Slovakia                                              ,Eastern European States
Bulgaria                                              ,Eastern European States
Montenegro                                            ,Eastern European States
Slovenia                                              ,Eastern European States
Croatia                                               ,Eastern European States
North Macedonia                                       ,Eastern European States
Ukraine                                               ,Eastern European States
Czechia                                               ,Eastern European States
Poland                                                ,Eastern European States
Antigua and Barbuda                                   ,Latin American and Caribbean States
Dominica                                              ,Latin American and Caribbean States
Nicaragua                                             ,Latin American and Caribbean States
Argentina                                             ,Latin American and Caribbean States
Dominican Republic                                    ,Latin American and Caribbean States
Panama                                                ,Latin American and Caribbean States
Bahamas                                               ,Latin American and Caribbean States
Ecuador                                               ,Latin American and Caribbean States
Paraguay                                              ,Latin American and Caribbean States
Barbados                                              ,Latin American and Caribbean States
El Salvador                                           ,Latin American and Caribbean States
Peru                                                  ,Latin American and Caribbean States
Belize                                                ,Latin American and Caribbean States
Grenada                                               ,Latin American and Caribbean States
Saint Kitts and Nevis                                 ,Latin American and Caribbean States
Bolivia (Plurinational State of)                      ,Latin American and Caribbean States
Guatemala                                             ,Latin American and Caribbean States
Saint Lucia                                           ,Latin American and Caribbean States
Brazil                                                ,Latin American and Caribbean States
Guyana                                                ,Latin American and Caribbean States
Saint Vincent and the Grenadines                      ,Latin American and Caribbean States
Chile                                                 ,Latin American and Caribbean States
Haiti                                                 ,Latin American and Caribbean States
Suriname                                              ,Latin American and Caribbean States
Colombia                                              ,Latin American and Caribbean States
Honduras                                              ,Latin American and Caribbean States
Trinidad and Tobago                                   ,Latin American and Caribbean States
Costa Rica                                            ,Latin American and Caribbean States
Jamaica                                               ,Latin American and Caribbean States
Uruguay                                               ,Latin American and Caribbean States
Cuba                                                  ,Latin American and Caribbean States
Mexico                                                ,Latin American and Caribbean States
Venezuela (Bolivarian Republic of)                    ,Latin American and Caribbean States
Andorra                                               ,Western European and other States
Iceland                                               ,Western European and other States
Norway                                                ,Western European and other States
Australia                                             ,Western European and other States
Ireland                                               ,Western European and other States
Portugal                                              ,Western European and other States
Austria                                               ,Western European and other States
Israel                                                ,Western European and other States
San Marino                                            ,Western European and other States
Belgium                                               ,Western European and other States
Italy                                                 ,Western European and other States
Spain                                                 ,Western European and other States
Canada                                                ,Western European and other States
Liechtenstein                                         ,Western European and other States
Sweden                                                ,Western European and other States
Denmark                                               ,Western European and other States
Luxembourg                                            ,Western European and other States
Switzerland                                           ,Western European and other States
Finland                                               ,Western European and other States
Malta                                                 ,Western European and other States
Türkiye                                               ,Western European and other States
France                                                ,Western European and other States
Monaco                                                ,Western European and other States
United Kingdom of Great Britain and Northern Ireland  ,Western European and other States
Germany                                               ,Western European and other States
Netherlands                                           ,Western European and other States
United States of America                              ,Western European and other States
Greece                                                ,Western European and other States
New Zealand                                           ,Western European and other States
